locationId,name,latitude,longitude,fullAddress,postalCode,isLocalChef,isPremium,rating,reviewCount,telephone,url,Avg_sentiment,Sentiment_label,combined_cuisines
27740176,Grand Sky Lounge,7.285383,80.64447,"12 Mahamaya Mawatha, Kandy 20000 Sri Lanka",20000.0,0,1,4.8,157,+94 81 2 244333,/Restaurant_Review-g304138-d27740176-Reviews-Grand_Sky_Lounge-Kandy_Kandy_District_Central_Province.html,0.6898433121019109,Positive,"Bar, International, Dining bars"
13551312,Vito Wood Fired Pizza,7.287843,80.64234,"56, Saranankara Road, Kandy 20000 Sri Lanka",20000.0,0,0,4.8,1000,+94 77 454 9000,/Restaurant_Review-g304138-d13551312-Reviews-Vito_Wood_Fired_Pizza-Kandy_Kandy_District_Central_Province.html,0.6595078921078922,Positive,"Italian, Pizza, Beer restaurants"
13427841,Hideout Lounge,7.287413,80.64656,"52 Sangaraja Mawatha, Kandy 20000 Sri Lanka",20000.0,0,0,4.6,793,+94 81 2 227022,/Restaurant_Review-g304138-d13427841-Reviews-Hideout_Lounge-Kandy_Kandy_District_Central_Province.html,0.6752421185372005,Positive,"International, Dining bars"
10458165,Sulochana's Kitchen,7.290715,80.60727,"162/1 Panasara Mawatha,Halloluwa. Bus Junction Halloluwa,kandy, Kandy 20023 Sri Lanka",20023.0,0,0,5.0,89,+94 77 338 9665,/Restaurant_Review-g304138-d10458165-Reviews-Sulochana_s_Kitchen-Kandy_Kandy_District_Central_Province.html,0.6275011235955056,Positive,Sri Lankan
1134977,Sharon Inn,7.287215,80.64206,"59 Saranankara Rd Kandy Lake,, Kandy 20000 Sri Lanka",20000.0,0,0,4.4,512,+94 81 2 222416,/Restaurant_Review-g304138-d1134977-Reviews-Sharon_Inn-Kandy_Kandy_District_Central_Province.html,0.6508016064257028,Positive,"Asian, Sri Lankan"
12994881,Cafe Banana Chill,7.2935,80.648445,"129/8B Anagarika Dharmapala Mawatha, Kandy 20000 Sri Lanka",20000.0,0,0,4.8,384,+94 77 588 2041,/Restaurant_Review-g304138-d12994881-Reviews-Cafe_Banana_Chill-Kandy_Kandy_District_Central_Province.html,0.6680421875000001,Positive,"Cafe, Fusion, Healthy"
7256943,Theva Cuisine,7.276169,80.63546,"11/B5/10-1, 6th Lane Off Upper Tank Road, Off Circular Road 2, Kandy 01000 Sri Lanka",1000.0,0,0,4.4,294,+94 81 7 388296,/Restaurant_Review-g304138-d7256943-Reviews-Theva_Cuisine-Kandy_Kandy_District_Central_Province.html,0.732334375,Positive,"Asian, Healthy, Sri Lankan"
11694327,Buono,7.295151,80.63804,"72 DS Senanayake Veediya, Kandy 20000 Sri Lanka",20000.0,0,0,4.7,548,+94 76 669 0041,/Restaurant_Review-g304138-d11694327-Reviews-Buono-Kandy_Kandy_District_Central_Province.html,0.6154408759124087,Positive,"Cafe, European, Healthy"
26326255,Cafe Nuwara,7.296502,80.63771,"No: 146, DS Senanayake street Kandy, Kandy 20000 Sri Lanka",20000.0,0,0,4.3,139,+94 81 2 121238,/Restaurant_Review-g304138-d26326255-Reviews-Cafe_Nuwara-Kandy_Kandy_District_Central_Province.html,0.7003021582733813,Positive,"Cafe, Asian, Thai, Indonesian, Cuban, Mongolian, Sri Lankan"
15100270,Sri Krishna Dosai,7.293803,80.63848,"No 09 D S Senanayaka Street, Kandy 20000 Sri Lanka",20000.0,0,0,4.7,238,+94 81 4 955999,/Restaurant_Review-g304138-d15100270-Reviews-Sri_Krishna_Dosai-Kandy_Kandy_District_Central_Province.html,0.6537563025210084,Positive,"Indian, Asian, Sri Lankan"
16724326,Sunset Kandy,7.293883,80.638,"63 Colombo Street, Kandy 20000 Sri Lanka",20000.0,0,0,4.6,223,+94 76 627 4226,/Restaurant_Review-g304138-d16724326-Reviews-Sunset_Kandy-Kandy_Kandy_District_Central_Province.html,0.5758497757847534,Positive,"Italian, Pizza, European, Beer restaurants"
25284755,The Empire Cafe,7.29363,80.638855,"No. 21, Temple Street In Front Temple Of Tooth, Kandy 20000 Sri Lanka",20000.0,0,0,4.6,153,+94 81 2 239870,/Restaurant_Review-g304138-d25284755-Reviews-The_Empire_Cafe-Kandy_Kandy_District_Central_Province.html,0.7399405228758169,Positive,"Chinese, Indian, European, Sri Lankan"
8621956,The Kandy House,7.309167,80.66881,"Amunugama Walauwa, Kandy 20000 Sri Lanka",20000.0,0,0,4.6,69,+94 81 2 425133,/Restaurant_Review-g304138-d8621956-Reviews-The_Kandy_House-Kandy_Kandy_District_Central_Province.html,0.7997550724637682,Positive,"International, Asian, Sri Lankan"
2418376,Slightly Chilled Lounge & Sunset Bar,7.29071,80.6455,"No. 29 A, Anagarika Dharmapala, Mawatha, Kandy 101010 Sri Lanka",101010.0,0,0,4.2,2224,+94 81 2 238267,/Restaurant_Review-g304138-d2418376-Reviews-Slightly_Chilled_Lounge_Sunset_Bar-Kandy_Kandy_District_Central_Province.html,0.6482076295585413,Positive,"Bar, Asian, Szechuan"
3911671,Balaji Dosai,7.294439,80.637985,"03 DS Senanayake Veediya, Kandy, Kandy 20000 Sri Lanka",20000.0,0,0,4.2,1351,+94 81 2 224593,/Restaurant_Review-g304138-d3911671-Reviews-Balaji_Dosai-Kandy_Kandy_District_Central_Province.html,0.5269709628506445,Positive,Indian
32853220,Vito Wood Fired Pizza Peradeniya,7.28471,80.62444,"398 Peradeniya Rd, Kandy Hameedia - Peradeniya, Kandy 20000 Sri Lanka",20000.0,0,1,5.0,91,+94 77 992 1990,/Restaurant_Review-g304138-d32853220-Reviews-Vito_Wood_Fired_Pizza_Peradeniya-Kandy_Kandy_District_Central_Province.html,0.8812164835164836,Positive,"Italian, Pizza, Diner"
26528421,Kurumbunkz,7.291457,80.64695,"3D Sangamitta Mawatha, Kandy 20000 Sri Lanka",20000.0,0,0,4.8,75,+94 77 189 1111,/Restaurant_Review-g304138-d26528421-Reviews-Kurumbunkz-Kandy_Kandy_District_Central_Province.html,0.589,Positive,"Italian, American, Australian, Indonesian, Sri Lankan"
2662442,Senani BY Oak ray Restaurant & Bar,7.288767,80.639435,"No 30 Rajapihilla Mawatha, Kandy 20000 Sri Lanka",20000.0,0,0,4.0,960,+94 81 2 224833,/Restaurant_Review-g304138-d2662442-Reviews-Senani_BY_Oak_ray_Restaurant_Bar-Kandy_Kandy_District_Central_Province.html,0.5765985169491525,Positive,Chinese
25316715,Timber Cabin Restaurant & Lounge,7.287413,80.64125,"No 34 Rajapihilla Mawatha, Kandy 20000 Sri Lanka",20000.0,0,0,4.8,41,+94 81 2 063688,/Restaurant_Review-g304138-d25316715-Reviews-Timber_Cabin_Restaurant_Lounge-Kandy_Kandy_District_Central_Province.html,0.6584365853658536,Positive,"Italian, Chinese, Cafe, Asian, Indonesian, Sri Lankan"
19839180,Soul Food,7.292691,80.63596,"48 Sri Wickrama Rajasinghe Mawatha, Kandy 20000 Sri Lanka",20000.0,0,0,4.8,125,+94 76 666 7747,/Restaurant_Review-g304138-d19839180-Reviews-Soul_Food-Kandy_Kandy_District_Central_Province.html,0.5708744,Positive,"Fusion, Healthy"
7720978,Licensed To Grill By Di's,7.298419,80.65063,"No 186, Dharmashoka Mawatha, Kandy 20000 Sri Lanka",20000.0,0,0,4.4,998,+94 77 741 0666,/Restaurant_Review-g304138-d7720978-Reviews-Licensed_To_Grill_By_Di_s-Kandy_Kandy_District_Central_Province.html,0.5723434869739479,Positive,"Barbecue, European"
2703089,Kandyan Muslim Hotel,7.293159,80.63534,"Dalada Vidiya, Kandy 20000 Sri Lanka",20000.0,0,0,3.7,952,+94 81 2 229129,/Restaurant_Review-g304138-d2703089-Reviews-Kandyan_Muslim_Hotel-Kandy_Kandy_District_Central_Province.html,0.354140899122807,Positive,"Asian, Sri Lankan"
17288429,Indian Summer,7.296389,80.636665,"320B E L Senanayake Veediya Opp YMCA, near City Centre, Kandy 20000 Sri Lanka",20000.0,0,0,4.1,96,+94 81 2 235030,/Restaurant_Review-g304138-d17288429-Reviews-Indian_Summer-Kandy_Kandy_District_Central_Province.html,0.5453489583333333,Positive,"Indian, Asian, Sri Lankan"
26866938,Scoobys Hideaway,7.297072,80.63759,"1st Floor, 164 DS Senanayake Veediya, Kandy 20000 Sri Lanka",20000.0,0,0,4.8,53,+94 75 896 4619,/Restaurant_Review-g304138-d26866938-Reviews-Scoobys_Hideaway-Kandy_Kandy_District_Central_Province.html,0.7342245283018868,Positive,"Italian, Cafe, European"
14925048,Cafe 1886 by Salgado Bakers,7.294794,80.63698,"68 E.L Senanaya veediya On top of Salgado Bakers, Kandy 20000 Sri Lanka",20000.0,0,0,4.4,171,+94 81 2 222918,/Restaurant_Review-g304138-d14925048-Reviews-Cafe_1886_by_Salgado_Bakers-Kandy_Kandy_District_Central_Province.html,0.4620748538011696,Positive,"Seafood, Asian, Healthy, Sri Lankan"
15150352,The Whizz,7.286809,80.627655,"155 S W R D Bandaranayake Road, Kandy 20000 Sri Lanka",20000.0,0,0,4.3,104,+94 81 2 228080,/Restaurant_Review-g304138-d15150352-Reviews-The_Whizz-Kandy_Kandy_District_Central_Province.html,0.6007346153846154,Positive,"Cafe, Asian"
23728227,Mystery Meat,7.291756,80.63166,"No 89 Peradeniya Road, Kandy 20000 Sri Lanka",20000.0,0,0,4.9,61,+94 742074000,/Restaurant_Review-g304138-d23728227-Reviews-Mystery_Meat-Kandy_Kandy_District_Central_Province.html,0.8669803278688525,Positive,"Italian, International, Asian, Korean, Sri Lankan"
13316352,Nagalingam's Bhavan Pure Vegetarian (Jain) Indian Restaurant,7.294169,80.63774,"77 Colombo Street, Kandy 20000 Sri Lanka",20000.0,0,0,4.7,120,+94 77 198 1868,/Restaurant_Review-g304138-d13316352-Reviews-Nagalingam_s_Bhavan_Pure_Vegetarian_Jain_Indian_Restaurant-Kandy_Kandy_District_.html,0.6950666666666667,Positive,"Indian, Asian, Sri Lankan"
26364119,Hangout Late Night,7.287801,80.62595,"32D 3/1 George E De Silva Mawatha kandy Spellbound, Kandy 20000 Sri Lanka",20000.0,0,0,4.8,46,+94 81 2 233454,/Restaurant_Review-g304138-d26364119-Reviews-Hangout_Late_Night-Kandy_Kandy_District_Central_Province.html,0.6088630434782608,Positive,"Italian, Pizza, Grill, Pub, Dining bars"
28755943,Fab Ceylon Grand,7.297302,80.63727,"No 163/4 , D S Seenanayake Street, Kandy 20000 Sri Lanka",20000.0,0,0,4.8,26,94740221222,/Restaurant_Review-g304138-d28755943-Reviews-Fab_Ceylon_Grand-Kandy_Kandy_District_Central_Province.html,0.8388538461538462,Positive,"Italian, Chinese, American, Indian, Cafe"
15024784,Fab Ceylon,7.29588,80.63662,"No 121/3/1 E.L Senanayake Street, Kandy 20000 Sri Lanka",20000.0,0,0,3.4,69,+94 71 228 0404,/Restaurant_Review-g304138-d15024784-Reviews-Fab_Ceylon-Kandy_Kandy_District_Central_Province.html,0.3557614285714286,Positive,"Asian, Arabic"
10748383,Worldspice,7.292222,80.63722,"No 5 Dalada Veediya Kandy City Centre, Kandy 20000 Sri Lanka",20000.0,0,0,4.2,282,+94 71 025 7617,/Restaurant_Review-g304138-d10748383-Reviews-Worldspice-Kandy_Kandy_District_Central_Province.html,0.5510205673758866,Positive,Sri Lankan
11832680,Cafe Divine Street,7.294285,80.63661,"139 Colombo Street, Kandy 20000 Sri Lanka",20000.0,0,0,4.3,401,+94 77 699 2799,/Restaurant_Review-g304138-d11832680-Reviews-Cafe_Divine_Street-Kandy_Kandy_District_Central_Province.html,0.44985586034912717,Positive,"Chinese, Fast Food, Barbecue, Street Food, Sri Lankan"
3835067,Queens Hotel Restaurant,7.293049,80.63761,"No. 4 Dalada Veediya Queen's Hotel, Kandy 20000 Sri Lanka",20000.0,0,0,3.5,503,+94 81 2 233026,/Restaurant_Review-g304138-d3835067-Reviews-Queens_Hotel_Restaurant-Kandy_Kandy_District_Central_Province.html,0.40199075975359344,Positive,"Bar, Asian, Healthy, Sri Lankan"
6405495,Mango Garden  Restaurant,7.288122,80.6423,"32/1/1 , Saranankara Road Kandy Sri Lanka . 18 Bogodawatta Road Suduhumpola Kandy, Kandy 20000 Sri Lanka",20000.0,0,0,4.1,193,+94 81 2 235135,/Restaurant_Review-g304138-d6405495-Reviews-Mango_Garden_Restaurant-Kandy_Kandy_District_Central_Province.html,0.4230219251336898,Positive,"Asian, Sri Lankan, Central Asian"
3611588,Royal Bar & Hotel Restaurant,7.295166,80.63755,"No. 44 King's Street, Kandy 20000 Sri Lanka",20000.0,0,0,4.0,432,+94 81 2 224449,/Restaurant_Review-g304138-d3611588-Reviews-Royal_Bar_Hotel_Restaurant-Kandy_Kandy_District_Central_Province.html,0.5167622276029056,Positive,"Bar, European, Pub, Sri Lankan"
1133648,Bake House,7.29322,80.63643,"36 Dalada Vidiya (081) 2234341, Kandy 20000 Sri Lanka",20000.0,0,0,3.7,324,+94 81 2 234341,/Restaurant_Review-g304138-d1133648-Reviews-Bake_House-Kandy_Kandy_District_Central_Province.html,0.4202003278688525,Positive,"Asian, Sri Lankan"
3388056,The Pub,7.293125,80.63637,"36 Dalada Veediya, Kandy 20000 Sri Lanka",20000.0,0,0,3.4,892,0812234341-0814940805,/Restaurant_Review-g304138-d3388056-Reviews-The_Pub-Kandy_Kandy_District_Central_Province.html,0.33618775029446407,Positive,"Bar, European, Asian, Pub, Sri Lankan"
25448261,The Blizz Cafe,7.290642,80.63215,"3rd floor & rooftop, Lotus Building, No 242 D S Senanayaka Street, Kandy 20000 Sri Lanka",20000.0,0,0,5.0,18,+94 77 121 6261,/Restaurant_Review-g304138-d25448261-Reviews-The_Blizz_Cafe-Kandy_Kandy_District_Central_Province.html,0.9326722222222222,Positive,"Italian, Chinese, Cafe, Asian, Soups"
25398605,Grill 'N' Chill Japanese BBQ,7.284412,80.624504,"475 Mahajana Super, Peradeniya Road Revolucion City, Rooftop, Kandy 20000 Sri Lanka",20000.0,0,1,4.4,15,+94 81 2 223355,/Restaurant_Review-g304138-d25398605-Reviews-Grill_N_Chill_Japanese_BBQ-Kandy_Kandy_District_Central_Province.html,0.5353333333333333,Positive,"Japanese, Barbecue, Sushi, Asian, Japanese sweets parlour, Japanese Fusion"
25572789,Six8one,7.280755,80.62006,"681/E, Peradeniya Rd, Kandy., Kandy 20000 Sri Lanka",20000.0,0,0,5.0,6,+94 81 2 200681,/Restaurant_Review-g304138-d25572789-Reviews-Six8one-Kandy_Kandy_District_Central_Province.html,0.7723333333333334,Positive,"Cafe, Fast Food, Grill"
